damage_level,image_path,num_detections,centroids
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00402.jpg,1,"[(348.78765869140625, 154.2374267578125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00403.jpg,1,"[(346.154541015625, 200.71340942382812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00404.jpg,1,"[(338.8990783691406, 179.61880493164062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00405.jpg,1,"[(357.8662109375, 202.19680786132812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00406.jpg,1,"[(348.34521484375, 175.92739868164062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00407.jpg,2,"[(348.07470703125, 155.39369201660156), (353.394287109375, 200.5391082763672)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00408.jpg,1,"[(353.59649658203125, 193.96803283691406)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00409.jpg,1,"[(345.4154052734375, 193.19898986816406)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00410.jpg,1,"[(346.1845703125, 169.73666381835938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00411.jpg,1,"[(347.1574401855469, 202.2523956298828)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00412.jpg,1,"[(356.5157775878906, 198.6593017578125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00413.jpg,1,"[(354.47900390625, 187.8281707763672)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00414.jpg,1,"[(344.7900390625, 146.1360321044922)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00415.jpg,1,"[(346.6666259765625, 202.59133911132812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00416.jpg,1,"[(343.9346923828125, 189.58164978027344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00417.jpg,1,"[(337.83758544921875, 168.998779296875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00418.jpg,1,"[(352.534912109375, 201.2161407470703)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00419.jpg,1,"[(360.4972229003906, 195.87033081054688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00420.jpg,1,"[(351.04254150390625, 162.3931884765625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00421.jpg,1,"[(351.9729919433594, 207.04568481445312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00422.jpg,1,"[(350.47216796875, 185.58200073242188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00423.jpg,1,"[(334.2237548828125, 161.01718139648438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00424.jpg,1,"[(356.3341979980469, 191.76748657226562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00425.jpg,1,"[(343.6136169433594, 155.90231323242188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00426.jpg,1,"[(349.85040283203125, 223.28903198242188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00427.jpg,1,"[(347.3200988769531, 189.43450927734375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00428.jpg,1,"[(343.49267578125, 169.49110412597656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00429.jpg,1,"[(348.6729736328125, 198.8806915283203)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00430.jpg,1,"[(342.67193603515625, 180.16650390625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00431.jpg,1,"[(341.4158935546875, 161.92709350585938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00432.jpg,1,"[(340.718505859375, 186.94580078125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00433.jpg,1,"[(351.20111083984375, 177.6707763671875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00434.jpg,1,"[(339.87225341796875, 173.06097412109375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00435.jpg,1,"[(351.23779296875, 192.70664978027344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00436.jpg,1,"[(340.44378662109375, 174.24383544921875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00437.jpg,1,"[(342.8738098144531, 175.31558227539062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00438.jpg,1,"[(348.67950439453125, 183.25607299804688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00439.jpg,1,"[(340.645751953125, 162.85812377929688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00440.jpg,1,"[(343.102783203125, 171.4140167236328)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00441.jpg,1,"[(329.3900146484375, 161.38858032226562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00442.jpg,1,"[(351.45001220703125, 181.0189971923828)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00443.jpg,1,"[(350.61541748046875, 181.47152709960938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00444.jpg,1,"[(338.26129150390625, 160.39122009277344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00445.jpg,1,"[(338.1412353515625, 159.80990600585938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00446.jpg,1,"[(338.18707275390625, 159.77236938476562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00447.jpg,1,"[(338.28057861328125, 159.78854370117188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00448.jpg,1,"[(338.28057861328125, 159.78854370117188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00449.jpg,1,"[(338.237060546875, 159.81834411621094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00450.jpg,1,"[(338.284912109375, 160.31716918945312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00451.jpg,1,"[(347.12841796875, 186.59007263183594)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00452.jpg,1,"[(342.56207275390625, 172.75830078125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00453.jpg,1,"[(348.927490234375, 181.38931274414062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00454.jpg,1,"[(337.5798034667969, 165.6251220703125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00455.jpg,1,"[(347.75927734375, 166.5656280517578)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00456.jpg,1,"[(359.2086181640625, 201.44004821777344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00457.jpg,1,"[(338.5418701171875, 166.1631622314453)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00458.jpg,1,"[(340.436767578125, 156.74441528320312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00459.jpg,1,"[(350.47979736328125, 181.39840698242188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00460.jpg,1,"[(333.8454284667969, 178.5170135498047)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00461.jpg,1,"[(339.03985595703125, 156.77224731445312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00462.jpg,1,"[(347.01983642578125, 178.1853485107422)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00463.jpg,1,"[(336.90118408203125, 147.87741088867188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00464.jpg,1,"[(344.5423278808594, 179.37631225585938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00465.jpg,1,"[(339.1394958496094, 160.04551696777344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00466.jpg,1,"[(344.921630859375, 177.51853942871094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00467.jpg,1,"[(351.63690185546875, 199.9516143798828)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00468.jpg,1,"[(344.885986328125, 181.43641662597656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00469.jpg,1,"[(337.48052978515625, 176.263671875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00470.jpg,1,"[(346.13433837890625, 198.0103759765625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00471.jpg,1,"[(333.7855224609375, 164.24478149414062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00472.jpg,1,"[(347.9847717285156, 185.2705078125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00473.jpg,1,"[(334.007080078125, 180.41452026367188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00474.jpg,1,"[(344.0357971191406, 183.82504272460938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00475.jpg,1,"[(348.1318359375, 167.23648071289062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00476.jpg,1,"[(345.84490966796875, 175.97085571289062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00477.jpg,1,"[(333.1866455078125, 149.8328399658203)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00478.jpg,1,"[(344.711669921875, 184.515380859375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00479.jpg,1,"[(349.03485107421875, 187.71002197265625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00480.jpg,1,"[(344.0188903808594, 167.03671264648438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00481.jpg,1,"[(339.55926513671875, 160.62351989746094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00482.jpg,1,"[(348.3404541015625, 180.45657348632812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00483.jpg,1,"[(340.76116943359375, 152.1338653564453)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00484.jpg,1,"[(324.5467834472656, 158.75930786132812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00485.jpg,1,"[(341.46319580078125, 171.09132385253906)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00486.jpg,1,"[(356.21490478515625, 187.15179443359375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00487.jpg,1,"[(347.57373046875, 168.77854919433594)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00488.jpg,1,"[(339.2875671386719, 168.28103637695312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00489.jpg,1,"[(350.12359619140625, 197.4245147705078)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00490.jpg,1,"[(342.82843017578125, 165.7661590576172)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00491.jpg,1,"[(338.8419189453125, 173.9188690185547)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00492.jpg,1,"[(341.84228515625, 185.88816833496094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00493.jpg,1,"[(357.7497253417969, 196.0915069580078)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00494.jpg,1,"[(363.0712890625, 186.31561279296875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00495.jpg,1,"[(358.2408447265625, 159.43589782714844)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00496.jpg,1,"[(347.3755187988281, 190.43243408203125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00497.jpg,1,"[(337.278564453125, 182.3456573486328)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00498.jpg,1,"[(354.3796081542969, 204.55111694335938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00499.jpg,1,"[(348.6414489746094, 189.96267700195312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00500.jpg,1,"[(349.44049072265625, 158.6797637939453)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00501.jpg,1,"[(342.53216552734375, 157.71786499023438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00502.jpg,1,"[(347.010498046875, 191.76947021484375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00503.jpg,1,"[(340.16326904296875, 190.7139892578125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00504.jpg,1,"[(338.6012268066406, 159.57681274414062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00505.jpg,1,"[(345.2169189453125, 186.185302734375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00506.jpg,1,"[(348.7362060546875, 169.06195068359375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00507.jpg,1,"[(340.5155029296875, 179.07688903808594)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00508.jpg,1,"[(333.80047607421875, 170.34913635253906)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00509.jpg,1,"[(343.152099609375, 182.2563934326172)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00510.jpg,1,"[(343.0368347167969, 162.705810546875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00511.jpg,1,"[(350.3959655761719, 177.90313720703125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00512.jpg,1,"[(350.8391418457031, 193.7724151611328)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00513.jpg,1,"[(342.77081298828125, 156.65902709960938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00514.jpg,1,"[(341.7110290527344, 157.22467041015625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00515.jpg,1,"[(347.54656982421875, 183.32540893554688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00516.jpg,1,"[(340.61492919921875, 164.65789794921875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00517.jpg,1,"[(339.1669921875, 175.51197814941406)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00518.jpg,1,"[(349.19921875, 193.4032745361328)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00519.jpg,1,"[(348.4825744628906, 190.9072265625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00520.jpg,1,"[(348.90966796875, 191.72772216796875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00521.jpg,1,"[(348.9683532714844, 191.64865112304688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00522.jpg,1,"[(348.9683532714844, 191.64865112304688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00523.jpg,1,"[(348.9683532714844, 191.64865112304688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00524.jpg,1,"[(348.9683532714844, 191.64865112304688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00525.jpg,1,"[(350.9607238769531, 191.36964416503906)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00526.jpg,1,"[(342.5927734375, 155.54849243164062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00527.jpg,1,"[(348.083984375, 202.71722412109375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00528.jpg,1,"[(353.5280456542969, 196.90052795410156)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00529.jpg,1,"[(339.75244140625, 174.30093383789062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00530.jpg,1,"[(344.66717529296875, 149.381591796875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00531.jpg,1,"[(335.72271728515625, 176.5756072998047)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00532.jpg,1,"[(341.2926025390625, 198.26536560058594)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00533.jpg,1,"[(346.04705810546875, 180.5771026611328)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00534.jpg,1,"[(364.20806884765625, 189.37045288085938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00535.jpg,1,"[(358.60955810546875, 155.58941650390625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00536.jpg,1,"[(339.0019226074219, 169.67127990722656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00537.jpg,1,"[(358.2030029296875, 209.97268676757812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00538.jpg,1,"[(338.50750732421875, 176.21951293945312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00539.jpg,1,"[(345.2387390136719, 162.36874389648438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00540.jpg,1,"[(334.7106628417969, 183.61988830566406)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00541.jpg,1,"[(339.0323486328125, 174.4872589111328)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00542.jpg,1,"[(344.6463623046875, 206.21014404296875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00543.jpg,1,"[(324.6493835449219, 172.22750854492188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00544.jpg,1,"[(344.51934814453125, 195.43614196777344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00545.jpg,1,"[(339.7135009765625, 178.92581176757812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00546.jpg,1,"[(339.05633544921875, 173.97557067871094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00547.jpg,1,"[(343.0870666503906, 175.40750122070312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00548.jpg,1,"[(355.41522216796875, 167.38241577148438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00549.jpg,1,"[(348.8067321777344, 183.4550323486328)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00550.jpg,1,"[(332.6175842285156, 167.47348022460938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00551.jpg,1,"[(344.16278076171875, 193.4616241455078)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00552.jpg,1,"[(344.28497314453125, 184.71571350097656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00553.jpg,1,"[(340.680908203125, 155.5589599609375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00554.jpg,1,"[(345.15673828125, 211.74972534179688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00555.jpg,1,"[(348.2395935058594, 201.49502563476562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00556.jpg,1,"[(332.66925048828125, 159.46408081054688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00557.jpg,1,"[(342.6117248535156, 171.2467041015625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00558.jpg,1,"[(350.5596618652344, 176.56582641601562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00559.jpg,1,"[(354.1353759765625, 165.32177734375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00560.jpg,1,"[(357.8857421875, 189.7932891845703)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00561.jpg,1,"[(351.9644775390625, 209.6221160888672)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00562.jpg,1,"[(359.7791748046875, 189.00936889648438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00563.jpg,1,"[(368.6579895019531, 179.3620147705078)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00564.jpg,1,"[(355.1485595703125, 164.16908264160156)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00565.jpg,1,"[(340.09295654296875, 168.50216674804688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00566.jpg,1,"[(338.81878662109375, 168.55419921875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00567.jpg,1,"[(341.09967041015625, 174.3800811767578)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00568.jpg,1,"[(335.63897705078125, 158.89398193359375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00569.jpg,1,"[(347.9917297363281, 170.21090698242188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00570.jpg,1,"[(336.76165771484375, 178.02542114257812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00571.jpg,1,"[(333.1894226074219, 156.2726287841797)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00572.jpg,1,"[(347.0654296875, 192.48556518554688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00573.jpg,1,"[(348.83172607421875, 183.7507781982422)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00574.jpg,1,"[(333.3587646484375, 155.9620361328125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00575.jpg,1,"[(342.38226318359375, 185.2198486328125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00576.jpg,1,"[(349.5189208984375, 192.73585510253906)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00577.jpg,1,"[(338.8641662597656, 171.03384399414062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00578.jpg,1,"[(341.8134460449219, 197.25083923339844)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00579.jpg,1,"[(340.57928466796875, 180.4277801513672)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00580.jpg,1,"[(332.7001953125, 172.29417419433594)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00581.jpg,1,"[(344.9224853515625, 194.0677490234375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00582.jpg,1,"[(334.0037841796875, 159.45053100585938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00583.jpg,1,"[(343.5325622558594, 197.9173583984375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00584.jpg,1,"[(328.44659423828125, 178.47900390625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00585.jpg,1,"[(338.7934875488281, 160.943603515625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00586.jpg,1,"[(345.18267822265625, 190.970703125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00587.jpg,1,"[(345.2602844238281, 164.4996795654297)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00588.jpg,1,"[(352.83233642578125, 196.63697814941406)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00589.jpg,1,"[(349.45819091796875, 179.8049774169922)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00590.jpg,1,"[(366.946044921875, 171.83029174804688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00591.jpg,1,"[(355.13433837890625, 186.8173370361328)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00592.jpg,1,"[(357.69940185546875, 183.12042236328125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00593.jpg,1,"[(348.2686462402344, 162.55364990234375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00594.jpg,1,"[(352.02459716796875, 192.531494140625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00595.jpg,1,"[(342.06085205078125, 166.28964233398438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00596.jpg,1,"[(348.7174987792969, 199.7472686767578)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00597.jpg,1,"[(346.5378112792969, 192.81173706054688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00598.jpg,1,"[(345.854736328125, 167.123779296875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00599.jpg,1,"[(354.3260803222656, 173.62391662597656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00600.jpg,1,"[(336.6885986328125, 172.35621643066406)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00601.jpg,1,"[(346.5910949707031, 185.0814666748047)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00602.jpg,1,"[(338.08624267578125, 174.21847534179688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00603.jpg,1,"[(341.0714111328125, 154.40890502929688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00604.jpg,1,"[(342.8692932128906, 164.38275146484375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00605.jpg,1,"[(335.01953125, 168.8334503173828)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00606.jpg,1,"[(343.07989501953125, 175.78958129882812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00607.jpg,1,"[(358.98065185546875, 175.31210327148438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00608.jpg,1,"[(353.7103271484375, 181.9010467529297)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00609.jpg,1,"[(351.2591247558594, 186.4393310546875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00610.jpg,1,"[(347.646484375, 200.02392578125)]"
