damage_level,image_path,num_detections,centroids
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00075.jpg,1,"[(351.48974609375, 203.0021209716797)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00076.jpg,1,"[(359.0399169921875, 222.40335083007812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00077.jpg,1,"[(363.7222900390625, 203.47032165527344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00078.jpg,1,"[(352.11224365234375, 184.10943603515625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00079.jpg,1,"[(356.720703125, 215.7517852783203)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00080.jpg,1,"[(352.593994140625, 181.9396514892578)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00081.jpg,1,"[(352.1710205078125, 170.43328857421875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00082.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00083.jpg,1,"[(363.64239501953125, 222.82623291015625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00084.jpg,1,"[(360.355712890625, 204.1551055908203)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00085.jpg,1,"[(364.5383605957031, 160.1565399169922)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00086.jpg,1,"[(374.07867431640625, 107.22594451904297)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00087.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00088.jpg,1,"[(359.4354553222656, 214.87686157226562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00089.jpg,1,"[(364.228515625, 208.51197814941406)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00090.jpg,1,"[(360.453857421875, 177.4534912109375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00091.jpg,1,"[(342.1697692871094, 149.96356201171875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00092.jpg,1,"[(350.6151123046875, 185.72579956054688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00093.jpg,1,"[(349.4954528808594, 183.55067443847656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00094.jpg,1,"[(360.9001159667969, 211.13223266601562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00095.jpg,1,"[(354.560791015625, 166.07794189453125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00096.jpg,2,"[(354.62054443359375, 222.72361755371094), (345.4013977050781, 172.30615234375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00097.jpg,1,"[(357.02838134765625, 216.94766235351562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00098.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00099.jpg,1,"[(355.8323669433594, 213.238525390625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00100.jpg,1,"[(355.8099060058594, 207.80654907226562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00101.jpg,1,"[(359.9998779296875, 159.91241455078125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00102.jpg,1,"[(360.8055725097656, 195.63714599609375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00103.jpg,1,"[(357.6984558105469, 201.74539184570312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00104.jpg,1,"[(349.60601806640625, 172.10447692871094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00105.jpg,1,"[(359.4247741699219, 173.57791137695312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00106.jpg,1,"[(356.5586853027344, 195.34164428710938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00107.jpg,1,"[(356.885498046875, 167.04513549804688)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00108.jpg,1,"[(350.0462341308594, 169.00596618652344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00109.jpg,1,"[(355.8607177734375, 173.2430877685547)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00110.jpg,1,"[(351.7596740722656, 185.22421264648438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00111.jpg,1,"[(342.2476806640625, 168.61415100097656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00112.jpg,1,"[(361.23187255859375, 206.05496215820312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00113.jpg,1,"[(348.24163818359375, 178.95416259765625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00114.jpg,1,"[(351.7715148925781, 143.12533569335938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00115.jpg,1,"[(356.0533447265625, 214.6587677001953)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00116.jpg,1,"[(356.7755126953125, 206.53463745117188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00117.jpg,1,"[(355.07073974609375, 211.411376953125)]"
